247,Rivals
School:  Missouri Year:  2012 Name:  Dorial Green-Beckham Position:  WR City:  Springfield State:  MO Height:  78 Weight:  220 Stars:  5,School:  Alabama Year:  2012 Name:  Cyrus Jones Position:  ATH City:  Baltimore State:  MD Height:  71 Weight:  183 Stars:  4,
School:  Florida State Year:  2012 Name:  Mario Edwards Position:  DT City:  Denton State:  TX Height:  75 Weight:  285 Stars:  5,School:  Alabama Year:  2012 Name:  Dalvin Tomlinson Position:  DT City:  McDonough State:  GA Height:  74 Weight:  270 Stars:  4,
School:  Florida Year:  2012 Name:  D.J. Humphries Position:  OT City:  Charlotte State:  NC Height:  77 Weight:  275 Stars:  5,School:  Alabama Year:  2012 Name:  Korren Kirven Position:  DT City:  Lynchburg State:  VA Height:  76 Weight:  272 Stars:  4,
School:  Washington Year:  2012 Name:  Shaq Thompson Position:  S City:  Sacramento State:  CA Height:  74 Weight:  210 Stars:  5,School:  Alabama Year:  2012 Name:  Deion Belue Position:  DB City:  Booneville State:  MS Height:  72 Weight:  170 Stars:  3,
School:  Ohio State Year:  2012 Name:  Noah Spence Position:  WDE City:  Harrisburg State:  PA Height:  75 Weight:  235 Stars:  5,School:  Alabama Year:  2012 Name:  Landon Collins Position:  DB City:  Geismar State:  LA Height:  71 Weight:  199 Stars:  5,
School:  Texas Year:  2012 Name:  Johnathan Gray Position:  RB City:  Aledo State:  TX Height:  71 Weight:  200 Stars:  5,School:  Alabama Year:  2012 Name:  Alphonse Taylor Position:  DT City:  Mobile State:  AL Height:  78 Weight:  340 Stars:  3,
School:  Alabama Year:  2012 Name:  Landon Collins Position:  S City:  Geismar State:  LA Height:  72 Weight:  210 Stars:  5,School:  Alabama Year:  2012 Name:  Travell Dixon Position:  DB City:  Thatcher State:  AZ Height:  74 Weight:  200 Stars:  4,
School:  Maryland Year:  2012 Name:  Stefon Diggs Position:  WR City:  Olney State:  MD Height:  73 Weight:  190 Stars:  5,School:  Alabama Year:  2012 Name:  T.J. Yeldon Position:  RB City:  Daphne State:  AL Height:  74 Weight:  205 Stars:  5,
School:  Texas Year:  2012 Name:  Malcom Brown Position:  DT City:  Brenham State:  TX Height:  75 Weight:  300 Stars:  5,School:  Alabama Year:  2012 Name:  Denzel Devall Position:  LB City:  Bastrop State:  LA Height:  74 Weight:  236 Stars:  4,
School:  Florida State Year:  2012 Name:  Eddie Goldman Position:  DT City:  Washington State:  DC Height:  77 Weight:  305 Stars:  5,School:  Alabama Year:  2012 Name:  Kurt Freitag Position:  TE City:  Buford State:  GA Height:  75 Weight:  245 Stars:  3,
School:  Stanford Year:  2012 Name:  Kyle Murphy Position:  OT City:  San Clemente State:  CA Height:  79 Weight:  270 Stars:  5,School:  Alabama Year:  2012 Name:  Amari Cooper Position:  WR City:  Miami State:  FL Height:  73 Weight:  175 Stars:  4,
School:  Georgia Year:  2012 Name:  Keith Marshall Position:  APB City:  Raleigh State:  NC Height:  71 Weight:  195 Stars:  5,School:  Alabama Year:  2012 Name:  Geno Smith Position:  DB City:  Atlanta State:  GA Height:  71 Weight:  180 Stars:  4,
School:  Florida Year:  2012 Name:  Jonathan Bullard Position:  SDE City:  Shelby State:  NC Height:  76 Weight:  245 Stars:  5,School:  Alabama Year:  2012 Name:  Chris Black Position:  WR City:  Jacksonville State:  FL Height:  71 Weight:  170 Stars:  4,
School:  Oregon Year:  2012 Name:  Arik Armstead Position:  ATH City:  Elk Grove State:  CA Height:  80 Weight:  285 Stars:  5,School:  Alabama Year:  2012 Name:  Alec Morris Position:  QB City:  Allen State:  TX Height:  75 Weight:  235 Stars:  3,
School:  Florida State Year:  2012 Name:  Jameis Winston Position:  DUAL City:  Hueytown State:  AL Height:  76 Weight:  190 Stars:  5,School:  Alabama Year:  2012 Name:  Darren Lake Position:  DT City:  York State:  AL Height:  75 Weight:  330 Stars:  3,
School:  Georgia Year:  2012 Name:  John Theus Position:  OT City:  Jacksonville State:  FL Height:  77 Weight:  305 Stars:  5,School:  Alabama Year:  2012 Name:  Dillon Lee Position:  LB City:  Buford State:  GA Height:  76 Weight:  220 Stars:  4,
School:  Alabama Year:  2012 Name:  Eddie Williams Position:  ATH City:  Panama City Beach State:  FL Height:  75 Weight:  196 Stars:  5,School:  Alabama Year:  2012 Name:  Ryan Anderson Position:  LB City:  Daphne State:  AL Height:  75 Weight:  250 Stars:  4,
School:  Texas A&M Year:  2012 Name:  Trey Williams Position:  APB City:  Houston State:  TX Height:  68 Weight:  175 Stars:  5,School:  Alabama Year:  2012 Name:  Brandon Greene Position:  OL City:  Ellenwood State:  GA Height:  78 Weight:  280 Stars:  4,
School:  Miami Year:  2012 Name:  Duke Johnson Position:  APB City:  Miami State:  FL Height:  70 Weight:  175 Stars:  5,School:  Alabama Year:  2012 Name:  Kenyan Drake Position:  RB City:  Powder Springs State:  GA Height:  73 Weight:  195 Stars:  4,
School:  Georgia Year:  2012 Name:  Josh Harvey-Clemons Position:  OLB City:  Valdosta State:  GA Height:  77 Weight:  200 Stars:  5,School:  Alabama Year:  2012 Name:  Tyler Hayes Position:  LB City:  Thomasville State:  AL Height:  75 Weight:  215 Stars:  4,
School:  Ohio State Year:  2012 Name:  Adolphus Washington Position:  WDE City:  Cincinnati State:  OH Height:  76 Weight:  245 Stars:  5,School:  Alabama Year:  2012 Name:  Adam Griffith Position:  K City:  Calhoun State:  GA Height:  71 Weight:  175 Stars:  3,
School:  Miami Year:  2012 Name:  Tracy Howard Position:  CB City:  Hollywood State:  FL Height:  71 Weight:  175 Stars:  5,School:  Alabama Year:  2012 Name:  Reggie Ragland Position:  LB City:  Madison State:  AL Height:  76 Weight:  245 Stars:  4,
