247,Rivals,
School:  Missouri Year:  2012 Name:  Dorial Green-Beckham Position:  WR City:  Springfield State:  MO Height:  78 Weight:  220 Stars:  5,School:  Alabama Year:  2012 Name:  Cyrus Jones Position:  ATH City:  Baltimore State:  MD Height:  71 Weight:  183 Stars:  4,
School:  Florida State Year:  2012 Name:  Mario Edwards Position:  DT City:  Denton State:  TX Height:  75 Weight:  285 Stars:  5,School:  Alabama Year:  2012 Name:  Dalvin Tomlinson Position:  DT City:  McDonough State:  GA Height:  74 Weight:  270 Stars:  4,
School:  Kentucky Year:  2012 Name:  Daron Blaylock Position:  ILB City:  Marietta State:  GA Height:  72 Weight:  220 Stars:  3,School:  Missouri Year:  2012 Name:  Dorial Green-Beckham Position:  WR City:  Springfield State:  MO Height:  78 Weight:  220 Stars:  5,
School:  Wake Forest Year:  2012 Name:  Joshua Wilhite Position:  APB City:  Missouri City State:  TX Height:  70 Weight:  175 Stars:  3,School:  Missouri Year:  2012 Name:  Harold Brantley Position:  DT City:  Hershey State:  PA Height:  74 Weight:  260 Stars:  2,
School:  Southern Mississippi Year:  2012 Name:  Lelland Ducksworth Position:  OLB City:  Hattiesburg State:  MS Height:  74 Weight:  220 Stars:  3,School:  Missouri Year:  2012 Name:  John Gibson Position:  DB City:  Missouri City State:  TX Height:  70 Weight:  172 Stars:  3,
School:  Miami Year:  2012 Name:  Nate Dortch Position:  CB City:  Fort Myers State:  FL Height:  72 Weight:  165 Stars:  3,School:  Missouri Year:  2012 Name:  Levi Copelin Position:  DB City:  Broken Arrow State:  OK Height:  74 Weight:  170 Stars:  3,
School:  Duke Year:  2012 Name:  Allen Jackson Position:  SDE City:  Owings Mills State:  MD Height:  77 Weight:  225 Stars:  3,School:  Missouri Year:  2012 Name:  Russell Hansbrough Position:  RB City:  Arlington State:  TX Height:  68 Weight:  173 Stars:  3,
School:  Kentucky Year:  2012 Name:  Josh Harris Position:  ATH City:  Maysville State:  KY Height:  73 Weight:  205 Stars:  3,School:  Missouri Year:  2012 Name:  Evan Boehm Position:  OL City:  Lees Summit State:  MO Height:  75 Weight:  290 Stars:  4,
School:  Northwestern Year:  2012 Name:  Kent Playko Position:  OT City:  Lewis Center State:  OH Height:  77 Weight:  265 Stars:  3,School:  Missouri Year:  2012 Name:  Sean Culkin Position:  TE City:  Largo State:  FL Height:  77 Weight:  226 Stars:  3,
School:  Utah Year:  2012 Name:  Zach Lindsay Position:  OT City:  Kaysville State:  UT Height:  79 Weight:  245 Stars:  3,School:  Missouri Year:  2012 Name:  KaRa Stewart Position:  DB City:  OFallon State:  IL Height:  72 Weight:  190 Stars:  3,
School:  Michigan State Year:  2012 Name:  Ezra Robinson Position:  CB City:  Sarasota State:  FL Height:  73 Weight:  188 Stars:  3,School:  Missouri Year:  2012 Name:  Rickey Hatley Position:  DE City:  Atlanta State:  TX Height:  76 Weight:  245 Stars:  3,
School:  West Virginia Year:  2012 Name:  Jarrod Harper Position:  S City:  Frostburg State:  MD Height:  71 Weight:  200 Stars:  3,School:  Missouri Year:  2012 Name:  Jordan Williams Position:  OL City:  Denton State:  TX Height:  76 Weight:  250 Stars:  3,
School:  UTEP Year:  2012 Name:  Da'Carlos Renfro Position:  CB City:  Orange State:  TX Height:  69 Weight:  175 Stars:  3,School:  Missouri Year:  2012 Name:  Evan Winston Position:  DE City:  Muskegon Heights State:  MI Height:  76 Weight:  240 Stars:  3,
School:  Memphis Year:  2012 Name:  Kerwin Harrison Position:  TE City:  Lakeland State:  FL Height:  75 Weight:  230 Stars:  3,School:  Missouri Year:  2012 Name:  Maty Mauk Position:  QB City:  Kenton State:  OH Height:  74 Weight:  185 Stars:  3,
School:  Vanderbilt Year:  2012 Name:  Blake Fromang Position:  OT City:  Orlando State:  FL Height:  79 Weight:  290 Stars:  3,School:  Missouri Year:  2012 Name:  Michael Scherer Position:  LB City:  St. Louis State:  MO Height:  76 Weight:  229 Stars:  3,
School:  Iowa Year:  2012 Name:  C.J. Beathard Position:  PRO City:  Franklin State:  TN Height:  74 Weight:  180 Stars:  3,School:  Missouri Year:  2012 Name:  Donavin Newsom Position:  LB City:  St. Louis State:  MO Height:  74 Weight:  220 Stars:  3,
School:  Duke Year:  2012 Name:  Thomas Sirk Position:  PRO City:  Glen Saint Mary State:  FL Height:  77 Weight:  215 Stars:  3,School:  Missouri Year:  2012 Name:  Chaston Cuffee Position:  DB City:  Cleburne State:  TX Height:  73 Weight:  185 Stars:  3,
School:  Miami (OH) Year:  2012 Name:  Terry Davis Position:  OT City:  Cincinnati State:  OH Height:  76 Weight:  280 Stars:  3,School:  Missouri Year:  2012 Name:  Torey Boozer Position:  DB City:  Everman State:  TX Height:  75 Weight:  210 Stars:  3,
School:  UAB Year:  2012 Name:  Kelton Brackett Position:  CB City:  Eight Mile State:  AL Height:  71 Weight:  175 Stars:  3,School:  Missouri Year:  2012 Name:  Morgan Steward Position:  RB City:  Kansas City State:  MO Height:  71 Weight:  182 Stars:  3,
School:  Houston Year:  2012 Name:  Trevon Stewart Position:  CB City:  Patterson State:  LA Height:  70 Weight:  180 Stars:  3,School:  Missouri Year:  2012 Name:  Markus Golden Position:  LB City:  Hutchinson State:  KS Height:  75 Weight:  230 Stars:  3,
School:  Kentucky Year:  2012 Name:  Cody Quinn Position:  CB City:  Middletown State:  OH Height:  70 Weight:  165 Stars:  3,School:  Navy Year:  2012 Name:  James Stovall Position:  WR City:  Cleveland State:  TN Height:  75 Weight:  180 Stars:  0,
School:  UTEP Year:  2012 Name:  Devonte Richardson Position:  DT City:  Arlington State:  TX Height:  74 Weight:  280 Stars:  3,School:  Navy Year:  2012 Name:  T.J. Waters Position:  LB City:  Philadelphia State:  PA Height:  76 Weight:  235 Stars:  0,
